student_id,predicted_dropout_probability,predicted_dropout_flag,risk_category,support_action,observed_outcome
58,0.4535351526905371,0,Medium,"Schedule a check-in within two weeks and review attendance, coursework, and advising needs.",Dropout
59,0.039471377233297474,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
60,0.3736346115718054,0,Medium,"Schedule a check-in within two weeks and review attendance, coursework, and advising needs.",Enrolled
61,0.09758475815599162,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
62,0.043076656139340086,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
63,0.45587457032767537,0,Medium,"Schedule a check-in within two weeks and review attendance, coursework, and advising needs.",Enrolled
64,0.8233299433757298,1,High,"Start proactive outreach within 72 hours and connect the student to academic, advising, and financial support.",Enrolled
65,0.9463394929067893,1,High,"Start proactive outreach within 72 hours and connect the student to academic, advising, and financial support.",Enrolled
66,0.5387235448027701,1,Medium,"Schedule a check-in within two weeks and review attendance, coursework, and advising needs.",Dropout
67,0.37143846339058584,0,Medium,"Schedule a check-in within two weeks and review attendance, coursework, and advising needs.",Graduate
68,0.0353635957339137,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
69,0.32101962510425797,0,Low,Continue routine monitoring and reinforce the student's current supports.,Dropout
70,0.3222792976763849,0,Low,Continue routine monitoring and reinforce the student's current supports.,Enrolled
71,0.8902940459307395,1,High,"Start proactive outreach within 72 hours and connect the student to academic, advising, and financial support.",Enrolled
72,0.27601141350643377,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
73,0.5387453725038881,1,Medium,"Schedule a check-in within two weeks and review attendance, coursework, and advising needs.",Dropout
74,0.9496495450120301,1,High,"Start proactive outreach within 72 hours and connect the student to academic, advising, and financial support.",Dropout
75,0.5247528848644458,1,Medium,"Schedule a check-in within two weeks and review attendance, coursework, and advising needs.",Graduate
76,0.6660875917169781,1,High,"Start proactive outreach within 72 hours and connect the student to academic, advising, and financial support.",Dropout
77,0.8486550009277147,1,High,"Start proactive outreach within 72 hours and connect the student to academic, advising, and financial support.",Dropout
78,0.18156104386683014,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
79,0.10109560397563572,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
80,0.029552077338368805,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
81,0.5179966223994836,1,Medium,"Schedule a check-in within two weeks and review attendance, coursework, and advising needs.",Dropout
82,0.9861102298599926,1,High,"Start proactive outreach within 72 hours and connect the student to academic, advising, and financial support.",Dropout
83,0.8577568294419885,1,High,"Start proactive outreach within 72 hours and connect the student to academic, advising, and financial support.",Dropout
84,0.462568266466135,0,Medium,"Schedule a check-in within two weeks and review attendance, coursework, and advising needs.",Enrolled
85,0.04164778080800331,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
86,0.08048587805408386,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
87,0.08662939642011118,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
88,0.06927833373461856,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
89,0.3068472913720544,0,Low,Continue routine monitoring and reinforce the student's current supports.,Enrolled
90,0.9229759929482163,1,High,"Start proactive outreach within 72 hours and connect the student to academic, advising, and financial support.",Enrolled
91,0.987805120313108,1,High,"Start proactive outreach within 72 hours and connect the student to academic, advising, and financial support.",Dropout
92,0.7207070913566458,1,High,"Start proactive outreach within 72 hours and connect the student to academic, advising, and financial support.",Graduate
93,0.9709837337163336,1,High,"Start proactive outreach within 72 hours and connect the student to academic, advising, and financial support.",Dropout
94,0.9956373980927568,1,High,"Start proactive outreach within 72 hours and connect the student to academic, advising, and financial support.",Dropout
95,0.0717184889046123,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
96,0.044925495341272874,0,Low,Continue routine monitoring and reinforce the student's current supports.,Enrolled
97,0.15679963988646883,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
98,0.055188457386587425,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
99,0.11653758003386591,0,Low,Continue routine monitoring and reinforce the student's current supports.,Enrolled
100,0.9962429870023972,1,High,"Start proactive outreach within 72 hours and connect the student to academic, advising, and financial support.",Dropout
101,0.29756311528387913,0,Low,Continue routine monitoring and reinforce the student's current supports.,Dropout
102,0.5781737256055024,1,Medium,"Schedule a check-in within two weeks and review attendance, coursework, and advising needs.",Graduate
103,0.9434480117859845,1,High,"Start proactive outreach within 72 hours and connect the student to academic, advising, and financial support.",Dropout
104,0.008493305958699952,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
105,0.9883785808572018,1,High,"Start proactive outreach within 72 hours and connect the student to academic, advising, and financial support.",Dropout
106,0.07449012123040656,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
107,0.9748628900862784,1,High,"Start proactive outreach within 72 hours and connect the student to academic, advising, and financial support.",Dropout
108,0.3188718857805862,0,Low,Continue routine monitoring and reinforce the student's current supports.,Dropout
109,0.4200786263891845,0,Medium,"Schedule a check-in within two weeks and review attendance, coursework, and advising needs.",Dropout
110,0.8140311775399969,1,High,"Start proactive outreach within 72 hours and connect the student to academic, advising, and financial support.",Enrolled
111,0.06712099320858106,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
112,0.27661778487129307,0,Low,Continue routine monitoring and reinforce the student's current supports.,Enrolled
113,0.06707482192734138,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
114,0.10651059236679603,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
115,0.1123095603437645,0,Low,Continue routine monitoring and reinforce the student's current supports.,Dropout
116,0.031157089868335045,0,Low,Continue routine monitoring and reinforce the student's current supports.,Enrolled
117,0.1375575939773826,0,Low,Continue routine monitoring and reinforce the student's current supports.,Enrolled
118,0.34177841694732874,0,Medium,"Schedule a check-in within two weeks and review attendance, coursework, and advising needs.",Enrolled
119,0.0480163489328277,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
120,0.03884440257452065,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
121,0.7405030102071009,1,High,"Start proactive outreach within 72 hours and connect the student to academic, advising, and financial support.",Dropout
122,0.1287748776057926,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
123,0.35980975303142343,0,Medium,"Schedule a check-in within two weeks and review attendance, coursework, and advising needs.",Dropout
124,0.055525909226694634,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
125,0.04233401216561516,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
126,0.9764623739253536,1,High,"Start proactive outreach within 72 hours and connect the student to academic, advising, and financial support.",Dropout
127,0.14071968326764916,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
128,0.14150168572234445,0,Low,Continue routine monitoring and reinforce the student's current supports.,Enrolled
129,0.07743536149146138,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
130,0.1998289673995245,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
131,0.04872297209479094,0,Low,Continue routine monitoring and reinforce the student's current supports.,Dropout
132,0.07991626015218847,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
133,0.06639017734979052,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
134,0.9708679135457942,1,High,"Start proactive outreach within 72 hours and connect the student to academic, advising, and financial support.",Dropout
135,0.012574569727919049,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
136,0.826639422188456,1,High,"Start proactive outreach within 72 hours and connect the student to academic, advising, and financial support.",Dropout
137,0.17599672188108031,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
138,0.023763367433267006,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
139,0.05178299035071686,0,Low,Continue routine monitoring and reinforce the student's current supports.,Enrolled
140,0.04763738336232107,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
141,0.12564341466262513,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
142,0.21204796752219054,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
143,0.9961446804192764,1,High,"Start proactive outreach within 72 hours and connect the student to academic, advising, and financial support.",Enrolled
144,0.02847629787551526,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
145,0.02380061390175949,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
146,0.30287531414207236,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
147,0.9712459307641469,1,High,"Start proactive outreach within 72 hours and connect the student to academic, advising, and financial support.",Dropout
148,0.34258668967086336,0,Medium,"Schedule a check-in within two weeks and review attendance, coursework, and advising needs.",Dropout
149,0.07376168617755972,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
150,0.04358333881025601,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
151,0.2627197094370509,0,Low,Continue routine monitoring and reinforce the student's current supports.,Enrolled
152,0.027113126958100534,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
153,0.41061614151648795,0,Medium,"Schedule a check-in within two weeks and review attendance, coursework, and advising needs.",Enrolled
154,0.27658685138732686,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
155,0.6188511202088032,1,Medium,"Schedule a check-in within two weeks and review attendance, coursework, and advising needs.",Dropout
156,0.1144272911783764,0,Low,Continue routine monitoring and reinforce the student's current supports.,Dropout
157,0.05651448713437218,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
158,0.05992572703342272,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
159,0.05061300942195257,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
160,0.04344218622054339,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
161,0.058523994770371984,0,Low,Continue routine monitoring and reinforce the student's current supports.,Dropout
162,0.02907241315888088,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
163,0.044612567186888684,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
164,0.9321789086814245,1,High,"Start proactive outreach within 72 hours and connect the student to academic, advising, and financial support.",Dropout
165,0.119954363028689,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
166,0.09135950745232592,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
167,0.8756958756982895,1,High,"Start proactive outreach within 72 hours and connect the student to academic, advising, and financial support.",Enrolled
168,0.21587387335919123,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
169,0.3245447760004586,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
170,0.5558582003495497,1,Medium,"Schedule a check-in within two weeks and review attendance, coursework, and advising needs.",Dropout
171,0.3113955707843912,0,Low,Continue routine monitoring and reinforce the student's current supports.,Enrolled
172,0.10730564110584424,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
173,0.04924431008277634,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
174,0.11470285394223209,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
175,0.8669061314749663,1,High,"Start proactive outreach within 72 hours and connect the student to academic, advising, and financial support.",Dropout
176,0.2025383829256336,0,Low,Continue routine monitoring and reinforce the student's current supports.,Enrolled
177,0.3194898092163073,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
178,0.9267479213705814,1,High,"Start proactive outreach within 72 hours and connect the student to academic, advising, and financial support.",Dropout
179,0.36767386807094193,0,Medium,"Schedule a check-in within two weeks and review attendance, coursework, and advising needs.",Dropout
180,0.5195558404870264,1,Medium,"Schedule a check-in within two weeks and review attendance, coursework, and advising needs.",Dropout
181,0.06387640196407934,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
182,0.050905420958638294,0,Low,Continue routine monitoring and reinforce the student's current supports.,Enrolled
183,0.9976939966133688,1,High,"Start proactive outreach within 72 hours and connect the student to academic, advising, and financial support.",Dropout
184,0.9870160166100159,1,High,"Start proactive outreach within 72 hours and connect the student to academic, advising, and financial support.",Dropout
185,0.9585872713646377,1,High,"Start proactive outreach within 72 hours and connect the student to academic, advising, and financial support.",Dropout
186,0.9501797552336116,1,High,"Start proactive outreach within 72 hours and connect the student to academic, advising, and financial support.",Dropout
187,0.7118408156846997,1,High,"Start proactive outreach within 72 hours and connect the student to academic, advising, and financial support.",Enrolled
188,0.08979789748437166,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
189,0.9499158771353178,1,High,"Start proactive outreach within 72 hours and connect the student to academic, advising, and financial support.",Dropout
190,0.18850357663035178,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
191,0.03913976396317872,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
192,0.46181960904172176,0,Medium,"Schedule a check-in within two weeks and review attendance, coursework, and advising needs.",Enrolled
193,0.9663419323487077,1,High,"Start proactive outreach within 72 hours and connect the student to academic, advising, and financial support.",Dropout
194,0.9927743030579409,1,High,"Start proactive outreach within 72 hours and connect the student to academic, advising, and financial support.",Dropout
195,0.06314727128777636,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
196,0.9791746661634159,1,High,"Start proactive outreach within 72 hours and connect the student to academic, advising, and financial support.",Dropout
197,0.06108267527752036,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
198,0.9871967970454897,1,High,"Start proactive outreach within 72 hours and connect the student to academic, advising, and financial support.",Dropout
199,0.05871897108799827,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
200,0.14255040550807996,0,Low,Continue routine monitoring and reinforce the student's current supports.,Enrolled
201,0.10884258707683019,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
202,0.021418964204049127,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
203,0.0789906827021992,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
204,0.1422715300440585,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
205,0.10649809827811908,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
206,0.6885677285583885,1,High,"Start proactive outreach within 72 hours and connect the student to academic, advising, and financial support.",Graduate
207,0.06264623940880552,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
208,0.1925860524451622,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
209,0.2083947129533271,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
210,0.39107950535799935,0,Medium,"Schedule a check-in within two weeks and review attendance, coursework, and advising needs.",Dropout
211,0.08586582043193773,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
212,0.04544767023933493,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
213,0.07857789556133046,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
214,0.9782886062067657,1,High,"Start proactive outreach within 72 hours and connect the student to academic, advising, and financial support.",Dropout
215,0.03375406372896415,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
216,0.12119714976035195,0,Low,Continue routine monitoring and reinforce the student's current supports.,Enrolled
217,0.06954357677729404,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
218,0.8997392637298208,1,High,"Start proactive outreach within 72 hours and connect the student to academic, advising, and financial support.",Dropout
219,0.8885528142807554,1,High,"Start proactive outreach within 72 hours and connect the student to academic, advising, and financial support.",Dropout
220,0.3820531990356546,0,Medium,"Schedule a check-in within two weeks and review attendance, coursework, and advising needs.",Dropout
221,0.162150149109872,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
222,0.1687283758452478,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
223,0.6452813307927221,1,Medium,"Schedule a check-in within two weeks and review attendance, coursework, and advising needs.",Dropout
224,0.12634743354350808,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
225,0.09011330410174333,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
226,0.38912948783943246,0,Medium,"Schedule a check-in within two weeks and review attendance, coursework, and advising needs.",Graduate
227,0.3594328302772817,0,Medium,"Schedule a check-in within two weeks and review attendance, coursework, and advising needs.",Graduate
228,0.024882847822137327,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
229,0.9971644580747122,1,High,"Start proactive outreach within 72 hours and connect the student to academic, advising, and financial support.",Dropout
230,0.030750977646613827,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
231,0.32007860615726336,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
232,0.9862500160343228,1,High,"Start proactive outreach within 72 hours and connect the student to academic, advising, and financial support.",Dropout
233,0.074799151601902,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
234,0.14997593960954236,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
235,0.642274380945112,1,Medium,"Schedule a check-in within two weeks and review attendance, coursework, and advising needs.",Dropout
236,0.03564735209074454,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
237,0.0968272114898145,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
238,0.09812501546668609,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
239,0.8428593521102398,1,High,"Start proactive outreach within 72 hours and connect the student to academic, advising, and financial support.",Dropout
240,0.9799078519583811,1,High,"Start proactive outreach within 72 hours and connect the student to academic, advising, and financial support.",Dropout
241,0.09889775061601891,0,Low,Continue routine monitoring and reinforce the student's current supports.,Enrolled
242,0.5848250459907021,1,Medium,"Schedule a check-in within two weeks and review attendance, coursework, and advising needs.",Enrolled
243,0.08650587466840072,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
244,0.9952694540076078,1,High,"Start proactive outreach within 72 hours and connect the student to academic, advising, and financial support.",Dropout
245,0.017305904757600184,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
246,0.036383382855652284,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
247,0.030992166013447453,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
248,0.9447778531058438,1,High,"Start proactive outreach within 72 hours and connect the student to academic, advising, and financial support.",Dropout
249,0.24592839064364472,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
250,0.05170431693904466,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
251,0.10801423748021793,0,Low,Continue routine monitoring and reinforce the student's current supports.,Enrolled
252,0.08498629616173439,0,Low,Continue routine monitoring and reinforce the student's current supports.,Dropout
253,0.06260820140007334,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
254,0.9556161503609706,1,High,"Start proactive outreach within 72 hours and connect the student to academic, advising, and financial support.",Enrolled
255,0.10130889888135142,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
256,0.9994408368838714,1,High,"Start proactive outreach within 72 hours and connect the student to academic, advising, and financial support.",Dropout
257,0.12865159516093366,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
258,0.06283127845370018,0,Low,Continue routine monitoring and reinforce the student's current supports.,Enrolled
259,0.051702258149954806,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
260,0.9898358611504819,1,High,"Start proactive outreach within 72 hours and connect the student to academic, advising, and financial support.",Dropout
261,0.1274323670947322,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
262,0.9137496538170821,1,High,"Start proactive outreach within 72 hours and connect the student to academic, advising, and financial support.",Dropout
263,0.9772357544284317,1,High,"Start proactive outreach within 72 hours and connect the student to academic, advising, and financial support.",Dropout
264,0.037772996642959786,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
265,0.0259390331672721,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
266,0.5446093900522528,1,Medium,"Schedule a check-in within two weeks and review attendance, coursework, and advising needs.",Graduate
267,0.04901660108553104,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
268,0.19153355959596152,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
269,0.05433572649785817,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
270,0.05781911473869222,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
271,0.049958759492693884,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
272,0.9353487735801309,1,High,"Start proactive outreach within 72 hours and connect the student to academic, advising, and financial support.",Dropout
273,0.28379003873443176,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
274,0.02387154925108723,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
275,0.03565352507187683,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
276,0.18557208302161524,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
277,0.7196063989147488,1,High,"Start proactive outreach within 72 hours and connect the student to academic, advising, and financial support.",Dropout
278,0.9730526134694587,1,High,"Start proactive outreach within 72 hours and connect the student to academic, advising, and financial support.",Dropout
279,0.008292821146234827,0,Low,Continue routine monitoring and reinforce the student's current supports.,Enrolled
280,0.0357220140398596,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
281,0.23711444553177824,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
282,0.060985951273396184,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
283,0.40685549114264513,0,Medium,"Schedule a check-in within two weeks and review attendance, coursework, and advising needs.",Graduate
284,0.04809785204399755,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
285,0.04060495219523826,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
286,0.05739090697104076,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
287,0.034854474055048816,0,Low,Continue routine monitoring and reinforce the student's current supports.,Enrolled
288,0.4820954669609488,0,Medium,"Schedule a check-in within two weeks and review attendance, coursework, and advising needs.",Graduate
289,0.03819744624328615,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
290,0.047716203915471586,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
291,0.09148483394112253,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
292,0.015489081626600818,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
293,0.07252689463859811,0,Low,Continue routine monitoring and reinforce the student's current supports.,Enrolled
294,0.0015814261207482893,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
295,0.16408459318481536,0,Low,Continue routine monitoring and reinforce the student's current supports.,Dropout
296,0.023714648775479585,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
297,0.06893752726371892,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
